  TIME                                    , SERIAL                                   , DATETIME 
0.00,0.00,1900-01-00 0:00:00
0.25,45658.01,2025-01-01 0:15
0.50,45658.02,2025-01-01 0:30
0.75,45658.03,2025-01-01 0:45
1.00,45658.04,2025-01-01 1:00
1.25,45658.05,2025-01-01 1:15
1.50,45658.06,2025-01-01 1:30
1.75,45658.07,2025-01-01 1:45
2.00,45658.08,2025-01-01 2:00
2.25,45658.09,2025-01-01 2:15
2.50,45658.10,2025-01-01 2:30
2.75,45658.11,2025-01-01 2:45
3.00,45658.13,2025-01-01 3:00
3.25,45658.14,2025-01-01 3:15
3.50,45658.15,2025-01-01 3:30
3.75,45658.16,2025-01-01 3:45
4.00,45658.17,2025-01-01 4:00
4.25,45658.18,2025-01-01 4:15
4.50,45658.19,2025-01-01 4:30
4.75,45658.20,2025-01-01 4:45
5.00,45658.21,2025-01-01 5:00
5.25,45658.22,2025-01-01 5:15
5.50,45658.23,2025-01-01 5:30
5.75,45658.24,2025-01-01 5:45
6.00,45658.25,2025-01-01 6:00
6.25,45658.26,2025-01-01 6:15
6.50,45658.27,2025-01-01 6:30
6.75,45658.28,2025-01-01 6:45
7.00,45658.29,2025-01-01 7:00
7.25,45658.30,2025-01-01 7:15
7.50,45658.31,2025-01-01 7:30
7.75,45658.32,2025-01-01 7:45
8.00,45658.33,2025-01-01 8:00
8.25,45658.34,2025-01-01 8:15
8.50,45658.35,2025-01-01 8:30
8.75,45658.36,2025-01-01 8:45
9.00,45658.38,2025-01-01 9:00
9.25,45658.39,2025-01-01 9:15
9.50,45658.40,2025-01-01 9:30
9.75,45658.41,2025-01-01 9:45
10.00,45658.42,2025-01-01 10:00
10.25,45658.43,2025-01-01 10:15
10.50,45658.44,2025-01-01 10:30
10.75,45658.45,2025-01-01 10:45
11.00,45658.46,2025-01-01 11:00
11.25,45658.47,2025-01-01 11:15
11.50,45658.48,2025-01-01 11:30
11.75,45658.49,2025-01-01 11:45
12.00,45658.50,2025-01-01 12:00
12.25,45658.51,2025-01-01 12:15
12.50,45658.52,2025-01-01 12:30
12.75,45658.53,2025-01-01 12:45
13.00,45658.54,2025-01-01 13:00
13.25,45658.55,2025-01-01 13:15
13.50,45658.56,2025-01-01 13:30
13.75,45658.57,2025-01-01 13:45
14.00,45658.58,2025-01-01 14:00
14.25,45658.59,2025-01-01 14:15
14.50,45658.60,2025-01-01 14:30
14.75,45658.61,2025-01-01 14:45
15.00,45658.63,2025-01-01 15:00
15.25,45658.64,2025-01-01 15:15
15.50,45658.65,2025-01-01 15:30
15.75,45658.66,2025-01-01 15:45
16.00,45658.67,2025-01-01 16:00
16.25,45658.68,2025-01-01 16:15
16.50,45658.69,2025-01-01 16:30
16.75,45658.70,2025-01-01 16:45
17.00,45658.71,2025-01-01 17:00
17.25,45658.72,2025-01-01 17:15
17.50,45658.73,2025-01-01 17:30
17.75,45658.74,2025-01-01 17:45
18.00,45658.75,2025-01-01 18:00
18.25,45658.76,2025-01-01 18:15
18.50,45658.77,2025-01-01 18:30
18.75,45658.78,2025-01-01 18:45
19.00,45658.79,2025-01-01 19:00
19.25,45658.80,2025-01-01 19:15
19.50,45658.81,2025-01-01 19:30
19.75,45658.82,2025-01-01 19:45
20.00,45658.83,2025-01-01 20:00
20.25,45658.84,2025-01-01 20:15
20.50,45658.85,2025-01-01 20:30
20.75,45658.86,2025-01-01 20:45
21.00,45658.88,2025-01-01 21:00
21.25,45658.89,2025-01-01 21:15
21.50,45658.90,2025-01-01 21:30
21.75,45658.91,2025-01-01 21:45
22.00,45658.92,2025-01-01 22:00
22.25,45658.93,2025-01-01 22:15
22.50,45658.94,2025-01-01 22:30
22.75,45658.95,2025-01-01 22:45
23.00,45658.96,2025-01-01 23:00
23.25,45658.97,2025-01-01 23:15
23.50,45658.98,2025-01-01 23:30
23.75,45658.99,2025-01-01 23:45
24.00,45659.00,2025-01-02 0:00
24.25,45659.01,2025-01-02 0:15
24.50,45659.02,2025-01-02 0:30
24.75,45659.03,2025-01-02 0:45
25.00,45659.04,2025-01-02 1:00
25.25,45659.05,2025-01-02 1:15
25.50,45659.06,2025-01-02 1:30
25.75,45659.07,2025-01-02 1:45
26.00,45659.08,2025-01-02 2:00
26.25,45659.09,2025-01-02 2:15
26.50,45659.10,2025-01-02 2:30
26.75,45659.11,2025-01-02 2:45
27.00,45659.13,2025-01-02 3:00
27.25,45659.14,2025-01-02 3:15
27.50,45659.15,2025-01-02 3:30
27.75,45659.16,2025-01-02 3:45
28.00,45659.17,2025-01-02 4:00
28.25,45659.18,2025-01-02 4:15
28.50,45659.19,2025-01-02 4:30
28.75,45659.20,2025-01-02 4:45
29.00,45659.21,2025-01-02 5:00
29.25,45659.22,2025-01-02 5:15
29.50,45659.23,2025-01-02 5:30
29.75,45659.24,2025-01-02 5:45
30.00,45659.25,2025-01-02 6:00
30.25,45659.26,2025-01-02 6:15
30.50,45659.27,2025-01-02 6:30
30.75,45659.28,2025-01-02 6:45
31.00,45659.29,2025-01-02 7:00
31.25,45659.30,2025-01-02 7:15
31.50,45659.31,2025-01-02 7:30
31.75,45659.32,2025-01-02 7:45
32.00,45659.33,2025-01-02 8:00
32.25,45659.34,2025-01-02 8:15
32.50,45659.35,2025-01-02 8:30
32.75,45659.36,2025-01-02 8:45
33.00,45659.38,2025-01-02 9:00
33.25,45659.39,2025-01-02 9:15
33.50,45659.40,2025-01-02 9:30
33.75,45659.41,2025-01-02 9:45
34.00,45659.42,2025-01-02 10:00
34.25,45659.43,2025-01-02 10:15
34.50,45659.44,2025-01-02 10:30
34.75,45659.45,2025-01-02 10:45
35.00,45659.46,2025-01-02 11:00
35.25,45659.47,2025-01-02 11:15
35.50,45659.48,2025-01-02 11:30
35.75,45659.49,2025-01-02 11:45
36.00,45659.50,2025-01-02 12:00
36.25,45659.51,2025-01-02 12:15
36.50,45659.52,2025-01-02 12:30
36.75,45659.53,2025-01-02 12:45
37.00,45659.54,2025-01-02 13:00
37.25,45659.55,2025-01-02 13:15
37.50,45659.56,2025-01-02 13:30
37.75,45659.57,2025-01-02 13:45
38.00,45659.58,2025-01-02 14:00
38.25,45659.59,2025-01-02 14:15
38.50,45659.60,2025-01-02 14:30
38.75,45659.61,2025-01-02 14:45
39.00,45659.63,2025-01-02 15:00
39.25,45659.64,2025-01-02 15:15
39.50,45659.65,2025-01-02 15:30
39.75,45659.66,2025-01-02 15:45
40.00,45659.67,2025-01-02 16:00
40.25,45659.68,2025-01-02 16:15
40.50,45659.69,2025-01-02 16:30
40.75,45659.70,2025-01-02 16:45
41.00,45659.71,2025-01-02 17:00
41.25,45659.72,2025-01-02 17:15
41.50,45659.73,2025-01-02 17:30
41.75,45659.74,2025-01-02 17:45
42.00,45659.75,2025-01-02 18:00
42.25,45659.76,2025-01-02 18:15
42.50,45659.77,2025-01-02 18:30
42.75,45659.78,2025-01-02 18:45
43.00,45659.79,2025-01-02 19:00
43.25,45659.80,2025-01-02 19:15
43.50,45659.81,2025-01-02 19:30
43.75,45659.82,2025-01-02 19:45
44.00,45659.83,2025-01-02 20:00
44.25,45659.84,2025-01-02 20:15
44.50,45659.85,2025-01-02 20:30
44.75,45659.86,2025-01-02 20:45
45.00,45659.88,2025-01-02 21:00
45.25,45659.89,2025-01-02 21:15
45.50,45659.90,2025-01-02 21:30
45.75,45659.91,2025-01-02 21:45
46.00,45659.92,2025-01-02 22:00
46.25,45659.93,2025-01-02 22:15
46.50,45659.94,2025-01-02 22:30
46.75,45659.95,2025-01-02 22:45
47.00,45659.96,2025-01-02 23:00
47.25,45659.97,2025-01-02 23:15
47.50,45659.98,2025-01-02 23:30
47.75,45659.99,2025-01-02 23:45
48.00,45660.00,2025-01-03 0:00
48.25,45660.01,2025-01-03 0:15
48.50,45660.02,2025-01-03 0:30
48.75,45660.03,2025-01-03 0:45
49.00,45660.04,2025-01-03 1:00
49.25,45660.05,2025-01-03 1:15
49.50,45660.06,2025-01-03 1:30
49.75,45660.07,2025-01-03 1:45
50.00,45660.08,2025-01-03 2:00
50.25,45660.09,2025-01-03 2:15
50.50,45660.10,2025-01-03 2:30
