 TIME                                   	SERIAL                                  	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +4.5658010416666664E+04	
  +5.0000000000000000E-01	  +4.5658020833333336E+04	
  +7.5000000000000000E-01	  +4.5658031250000000E+04	
  +1.0000000000000000E+00	  +4.5658041666666664E+04	
  +1.2500000000000000E+00	  +4.5658052083333336E+04	
  +1.5000000000000000E+00	  +4.5658062500000000E+04	
  +1.7500000000000000E+00	  +4.5658072916666664E+04	
  +2.0000000000000000E+00	  +4.5658083333333336E+04	
  +2.2500000000000000E+00	  +4.5658093750000000E+04	
  +2.5000000000000000E+00	  +4.5658104166666664E+04	
  +2.7500000000000000E+00	  +4.5658114583333336E+04	
  +3.0000000000000000E+00	  +4.5658125000000000E+04	
  +3.2500000000000000E+00	  +4.5658135416666664E+04	
  +3.5000000000000000E+00	  +4.5658145833333336E+04	
  +3.7500000000000000E+00	  +4.5658156250000000E+04	
  +4.0000000000000000E+00	  +4.5658166666666664E+04	
  +4.2500000000000000E+00	  +4.5658177083333336E+04	
  +4.5000000000000000E+00	  +4.5658187500000000E+04	
  +4.7500000000000000E+00	  +4.5658197916666664E+04	
  +5.0000000000000000E+00	  +4.5658208333333336E+04	
  +5.2500000000000000E+00	  +4.5658218750000000E+04	
  +5.5000000000000000E+00	  +4.5658229166666664E+04	
  +5.7500000000000000E+00	  +4.5658239583333336E+04	
  +6.0000000000000000E+00	  +4.5658250000000000E+04	
  +6.2500000000000000E+00	  +4.5658260416666664E+04	
  +6.5000000000000000E+00	  +4.5658270833333336E+04	
  +6.7500000000000000E+00	  +4.5658281250000000E+04	
  +7.0000000000000000E+00	  +4.5658291666666664E+04	
  +7.2500000000000000E+00	  +4.5658302083333336E+04	
  +7.5000000000000000E+00	  +4.5658312500000000E+04	
  +7.7500000000000000E+00	  +4.5658322916666664E+04	
  +8.0000000000000000E+00	  +4.5658333333333336E+04	
  +8.2500000000000000E+00	  +4.5658343750000000E+04	
  +8.5000000000000000E+00	  +4.5658354166666664E+04	
  +8.7500000000000000E+00	  +4.5658364583333336E+04	
  +9.0000000000000000E+00	  +4.5658375000000000E+04	
  +9.2500000000000000E+00	  +4.5658385416666664E+04	
  +9.5000000000000000E+00	  +4.5658395833333336E+04	
  +9.7500000000000000E+00	  +4.5658406250000000E+04	
  +1.0000000000000000E+01	  +4.5658416666666664E+04	
  +1.0250000000000000E+01	  +4.5658427083333336E+04	
  +1.0500000000000000E+01	  +4.5658437500000000E+04	
  +1.0750000000000000E+01	  +4.5658447916666664E+04	
